name,mfr,type,calories,protein_g,fat_g,sodium_mg,fiber_g,carbo_g,sugars_g,potass_mg,vitamins_perc,shelf,weight_oz,cups_per_serv
Cracklin' Oat Bran,Kelloggs,cold,110,3,3,140,4,10,7,160,25,3,1,0.5
All-Bran,Kelloggs,cold,70,4,1,260,9,7,5,320,25,3,1,0.33
Count Chocula,General Mills,cold,110,1,1,180,0,12,13,65,25,2,1,1
Bran Chex,Ralston Purina,cold,90,2,1,200,4,15,6,125,25,1,1,0.67
Total Corn Flakes,General Mills,cold,110,2,1,200,0,21,3,35,100,3,1,1
Just Right Fruit & Nut,Kelloggs,cold,140,3,1,170,2,20,9,95,100,3,1.3,0.75
Triples,General Mills,cold,110,2,1,250,0,21,3,60,25,3,1,0.75
Clusters,General Mills,cold,110,3,2,140,2,13,7,105,25,3,1,0.5
Special K,Kelloggs,cold,110,6,0,230,1,16,3,55,25,1,1,1
Apple Jacks,Kelloggs,cold,110,2,0,125,1,11,14,30,25,2,1,1
